Year,Age,Sex,Type of residence,Value
2015,,,,
2016,,,,
2017,,,,
2018,,,,62.0
2019,,,,64.0
2020,,,,
2021,,,,
2022,,,,
2023,,,,
2015,age_1_18_35,,,
2016,age_1_18_35,,,
2017,age_1_18_35,,,
2018,age_1_18_35,,,61.0
2019,age_1_18_35,,,65.0
2020,age_1_18_35,,,
2021,age_1_18_35,,,
2022,age_1_18_35,,,
2023,age_1_18_35,,,
2015,age_2_36_60,,,
2016,age_2_36_60,,,
2017,age_2_36_60,,,
2018,age_2_36_60,,,61.0
2019,age_2_36_60,,,64.0
2020,age_2_36_60,,,
2021,age_2_36_60,,,
2022,age_2_36_60,,,
2023,age_2_36_60,,,
2015,age_3_61,,,
2016,age_3_61,,,
2017,age_3_61,,,
2018,age_3_61,,,63.0
2019,age_3_61,,,63.0
2020,age_3_61,,,
2021,age_3_61,,,
2022,age_3_61,,,
2023,age_3_61,,,
2015,,male,,
2016,,male,,
2017,,male,,
2018,,male,,61.0
2019,,male,,63.0
2020,,male,,
2021,,male,,
2022,,male,,
2023,,male,,
2015,,female,,
2016,,female,,
2017,,female,,
2018,,female,,62.0
2019,,female,,64.0
2020,,female,,
2021,,female,,
2022,,female,,
2023,,female,,
2015,,,urban,
2016,,,urban,
2017,,,urban,
2018,,,urban,62.0
2019,,,urban,68.0
2020,,,urban,
2021,,,urban,
2022,,,urban,
2023,,,urban,
2015,,,rural,
2016,,,rural,
2017,,,rural,
2018,,,rural,63.0
2019,,,rural,60.0
2020,,,rural,
2021,,,rural,
2022,,,rural,
2023,,,rural,
