Year,Component,Region,Age,Gender,Value
2017,com_1_cohension,14_reg_Donetsk,,,
2018,com_1_cohension,14_reg_Donetsk,,,
2019,com_1_cohension,14_reg_Donetsk,,,
2020,com_1_cohension,14_reg_Donetsk,,,
2021,com_1_cohension,14_reg_Donetsk,,,
2022,com_1_cohension,14_reg_Donetsk,,,
2023,com_1_cohension,14_reg_Donetsk,,,
2017,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2018,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2019,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2020,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2021,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2022,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2023,com_1_cohension,14_reg_Donetsk,age_1_18_35,,
2017,com_1_cohension,14_reg_Donetsk,age_2_36_60,,6.7
2018,com_1_cohension,14_reg_Donetsk,age_2_36_60,,
2019,com_1_cohension,14_reg_Donetsk,age_2_36_60,,
2020,com_1_cohension,14_reg_Donetsk,age_2_36_60,,
2021,com_1_cohension,14_reg_Donetsk,age_36_59,,
2022,com_1_cohension,14_reg_Donetsk,age_36_59,,
2023,com_1_cohension,14_reg_Donetsk,age_36_59,,
2017,com_1_cohension,14_reg_Donetsk,age_3_61,,7.0
2018,com_1_cohension,14_reg_Donetsk,age_3_61,,
2019,com_1_cohension,14_reg_Donetsk,age_3_61,,
2020,com_1_cohension,14_reg_Donetsk,age_3_61,,
2021,com_1_cohension,14_reg_Donetsk,age_60,,
2022,com_1_cohension,14_reg_Donetsk,age_60,,
2023,com_1_cohension,14_reg_Donetsk,age_60,,
2017,com_1_cohension,14_reg_Donetsk,,males,6.7
2018,com_1_cohension,14_reg_Donetsk,,males,
2019,com_1_cohension,14_reg_Donetsk,,males,
2020,com_1_cohension,14_reg_Donetsk,,males,
2021,com_1_cohension,14_reg_Donetsk,,males,
2022,com_1_cohension,14_reg_Donetsk,,males,
2023,com_1_cohension,14_reg_Donetsk,,males,
2017,com_1_cohension,14_reg_Donetsk,,females,6.8
2018,com_1_cohension,14_reg_Donetsk,,females,
2019,com_1_cohension,14_reg_Donetsk,,females,
2020,com_1_cohension,14_reg_Donetsk,,females,
2021,com_1_cohension,14_reg_Donetsk,,females,
2022,com_1_cohension,14_reg_Donetsk,,females,
2023,com_1_cohension,14_reg_Donetsk,,females,
2017,com_1_cohension,21_reg_Luhansk,,,
2018,com_1_cohension,21_reg_Luhansk,,,
2019,com_1_cohension,21_reg_Luhansk,,,
2020,com_1_cohension,21_reg_Luhansk,,,
2021,com_1_cohension,21_reg_Luhansk,,,
2022,com_1_cohension,21_reg_Luhansk,,,
2023,com_1_cohension,21_reg_Luhansk,,,
2017,com_1_cohension,21_reg_Luhansk,age_1_18_35,,6.4
2018,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2019,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2020,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2021,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2022,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2023,com_1_cohension,21_reg_Luhansk,age_1_18_35,,
2017,com_1_cohension,21_reg_Luhansk,age_2_36_60,,6.7
2018,com_1_cohension,21_reg_Luhansk,age_2_36_60,,
2019,com_1_cohension,21_reg_Luhansk,age_2_36_60,,
2020,com_1_cohension,21_reg_Luhansk,age_2_36_60,,
2021,com_1_cohension,21_reg_Luhansk,age_36_59,,
2022,com_1_cohension,21_reg_Luhansk,age_36_59,,
2023,com_1_cohension,21_reg_Luhansk,age_36_59,,
2017,com_1_cohension,21_reg_Luhansk,age_3_61,,6.9
2018,com_1_cohension,21_reg_Luhansk,age_3_61,,
2019,com_1_cohension,21_reg_Luhansk,age_3_61,,
2020,com_1_cohension,21_reg_Luhansk,age_3_61,,
2021,com_1_cohension,21_reg_Luhansk,age_60,,
2022,com_1_cohension,21_reg_Luhansk,age_60,,
2023,com_1_cohension,21_reg_Luhansk,age_60,,
2017,com_1_cohension,21_reg_Luhansk,,males,6.7
2018,com_1_cohension,21_reg_Luhansk,,males,
2019,com_1_cohension,21_reg_Luhansk,,males,
2020,com_1_cohension,21_reg_Luhansk,,males,
2021,com_1_cohension,21_reg_Luhansk,,males,
2022,com_1_cohension,21_reg_Luhansk,,males,
2023,com_1_cohension,21_reg_Luhansk,,males,
2017,com_1_cohension,21_reg_Luhansk,,females,6.7
2018,com_1_cohension,21_reg_Luhansk,,females,
2019,com_1_cohension,21_reg_Luhansk,,females,
2020,com_1_cohension,21_reg_Luhansk,,females,
2021,com_1_cohension,21_reg_Luhansk,,females,
2022,com_1_cohension,21_reg_Luhansk,,females,
2023,com_1_cohension,21_reg_Luhansk,,females,
2017,com_1_cohension,13_reg_Dnipropetrovsk,,,
2018,com_1_cohension,13_reg_Dnipropetrovsk,,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,,,
2020,com_1_cohension,13_reg_Dnipropetrovsk,,,
2021,com_1_cohension,13_reg_Dnipropetrovsk,,,
2022,com_1_cohension,13_reg_Dnipropetrovsk,,,
2023,com_1_cohension,13_reg_Dnipropetrovsk,,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,6.4
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2020,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2021,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2022,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2023,com_1_cohension,13_reg_Dnipropetrovsk,age_1_18_35,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,
2020,com_1_cohension,13_reg_Dnipropetrovsk,age_2_36_60,,
2021,com_1_cohension,13_reg_Dnipropetrovsk,age_36_59,,
2022,com_1_cohension,13_reg_Dnipropetrovsk,age_36_59,,
2023,com_1_cohension,13_reg_Dnipropetrovsk,age_36_59,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,7.0
2018,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,
2019,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,
2020,com_1_cohension,13_reg_Dnipropetrovsk,age_3_61,,
2021,com_1_cohension,13_reg_Dnipropetrovsk,age_60,,
2022,com_1_cohension,13_reg_Dnipropetrovsk,age_60,,
2023,com_1_cohension,13_reg_Dnipropetrovsk,age_60,,
2017,com_1_cohension,13_reg_Dnipropetrovsk,,males,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2019,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2020,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2021,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2022,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2023,com_1_cohension,13_reg_Dnipropetrovsk,,males,
2017,com_1_cohension,13_reg_Dnipropetrovsk,,females,6.6
2018,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2019,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2020,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2021,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2022,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2023,com_1_cohension,13_reg_Dnipropetrovsk,,females,
2017,com_1_cohension,17_reg_Zaporizhzhya,,,
2018,com_1_cohension,17_reg_Zaporizhzhya,,,
2019,com_1_cohension,17_reg_Zaporizhzhya,,,
2020,com_1_cohension,17_reg_Zaporizhzhya,,,
2021,com_1_cohension,17_reg_Zaporizhzhya,,,
2022,com_1_cohension,17_reg_Zaporizhzhya,,,
2023,com_1_cohension,17_reg_Zaporizhzhya,,,
2017,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,6.3
2018,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2019,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2020,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2021,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2022,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2023,com_1_cohension,17_reg_Zaporizhzhya,age_1_18_35,,
2017,com_1_cohension,17_reg_Zaporizhzhya,age_2_36_60,,6.5
2018,com_1_cohension,17_reg_Zaporizhzhya,age_2_36_60,,
2019,com_1_cohension,17_reg_Zaporizhzhya,age_2_36_60,,
2020,com_1_cohension,17_reg_Zaporizhzhya,age_2_36_60,,
2021,com_1_cohension,17_reg_Zaporizhzhya,age_36_59,,
2022,com_1_cohension,17_reg_Zaporizhzhya,age_36_59,,
2023,com_1_cohension,17_reg_Zaporizhzhya,age_36_59,,
2017,com_1_cohension,17_reg_Zaporizhzhya,age_3_61,,6.8
2018,com_1_cohension,17_reg_Zaporizhzhya,age_3_61,,
2019,com_1_cohension,17_reg_Zaporizhzhya,age_3_61,,
2020,com_1_cohension,17_reg_Zaporizhzhya,age_3_61,,
2021,com_1_cohension,17_reg_Zaporizhzhya,age_60,,
2022,com_1_cohension,17_reg_Zaporizhzhya,age_60,,
2023,com_1_cohension,17_reg_Zaporizhzhya,age_60,,
2017,com_1_cohension,17_reg_Zaporizhzhya,,males,6.4
2018,com_1_cohension,17_reg_Zaporizhzhya,,males,
2019,com_1_cohension,17_reg_Zaporizhzhya,,males,
2020,com_1_cohension,17_reg_Zaporizhzhya,,males,
2021,com_1_cohension,17_reg_Zaporizhzhya,,males,
2022,com_1_cohension,17_reg_Zaporizhzhya,,males,
2023,com_1_cohension,17_reg_Zaporizhzhya,,males,
2017,com_1_cohension,17_reg_Zaporizhzhya,,females,6.6
2018,com_1_cohension,17_reg_Zaporizhzhya,,females,
2019,com_1_cohension,17_reg_Zaporizhzhya,,females,
2020,com_1_cohension,17_reg_Zaporizhzhya,,females,
2021,com_1_cohension,17_reg_Zaporizhzhya,,females,
2022,com_1_cohension,17_reg_Zaporizhzhya,,females,
2023,com_1_cohension,17_reg_Zaporizhzhya,,females,
2017,com_1_cohension,29_reg_Kharkiv,,,
2018,com_1_cohension,29_reg_Kharkiv,,,
2019,com_1_cohension,29_reg_Kharkiv,,,
2020,com_1_cohension,29_reg_Kharkiv,,,
2021,com_1_cohension,29_reg_Kharkiv,,,
2022,com_1_cohension,29_reg_Kharkiv,,,
2023,com_1_cohension,29_reg_Kharkiv,,,
2017,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,6.4
2018,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2019,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2020,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2021,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
2022,com_1_cohension,29_reg_Kharkiv,age_1_18_35,,
