Year,Farm caregory,Products,Value
2015,farms_1_all,prod_1_agri,95.2
2016,farms_1_all,prod_1_agri,106.3
2017,farms_1_all,prod_1_agri,97.8
2018,farms_1_all,prod_1_agri,108.2
2019,farms_1_all,prod_1_agri,101.4
2020,farms_1_all,prod_1_agri,89.9
2021,farms_1_all,prod_1_agri,116.4
2022,farms_1_all,prod_1_agri,74.7
2023,farms_1_all,prod_1_agri,111.1
2015,farms_1_all,prod_2_crop,94.8
2016,farms_1_all,prod_2_crop,109.0
2017,farms_1_all,prod_2_crop,97.1
2018,farms_1_all,prod_2_crop,110.1
2019,farms_1_all,prod_2_crop,101.7
2020,farms_1_all,prod_2_crop,88.0
2021,farms_1_all,prod_2_crop,122.3
2022,farms_1_all,prod_2_crop,71.8
2023,farms_1_all,prod_2_crop,113.9
2015,farms_1_all,prod_3_livestock,96.4
2016,farms_1_all,prod_3_livestock,97.2
2017,farms_1_all,prod_3_livestock,100.3
2018,farms_1_all,prod_3_livestock,101.2
2019,farms_1_all,prod_3_livestock,100.1
2020,farms_1_all,prod_3_livestock,97.6
2021,farms_1_all,prod_3_livestock,95.1
2022,farms_1_all,prod_3_livestock,88.2
2023,farms_1_all,prod_3_livestock,100.4
2015,farms_2_enterprise,prod_1_agri,94.9
2016,farms_2_enterprise,prod_1_agri,109.6
2017,farms_2_enterprise,prod_1_agri,97.0
2018,farms_2_enterprise,prod_1_agri,111.9
2019,farms_2_enterprise,prod_1_agri,102.6
2020,farms_2_enterprise,prod_1_agri,88.0
2021,farms_2_enterprise,prod_1_agri,122.2
2022,farms_2_enterprise,prod_1_agri,72.1
2023,farms_2_enterprise,prod_1_agri,116.4
2015,farms_2_enterprise,prod_2_crop,94.5
2016,farms_2_enterprise,prod_2_crop,112.1
2017,farms_2_enterprise,prod_2_crop,96.3
2018,farms_2_enterprise,prod_2_crop,113.3
2019,farms_2_enterprise,prod_2_crop,102.4
2020,farms_2_enterprise,prod_2_crop,86.0
2021,farms_2_enterprise,prod_2_crop,127.3
2022,farms_2_enterprise,prod_2_crop,69.0
2023,farms_2_enterprise,prod_2_crop,118.8
2015,farms_2_enterprise,prod_3_livestock,96.5
2016,farms_2_enterprise,prod_3_livestock,97.4
2017,farms_2_enterprise,prod_3_livestock,101.0
2018,farms_2_enterprise,prod_3_livestock,104.5
2019,farms_2_enterprise,prod_3_livestock,103.7
2020,farms_2_enterprise,prod_3_livestock,99.5
2021,farms_2_enterprise,prod_3_livestock,97.8
2022,farms_2_enterprise,prod_3_livestock,92.0
2023,farms_2_enterprise,prod_3_livestock,105.0
2015,farms_3_household,prod_1_agri,95.8
2016,farms_3_household,prod_1_agri,100.7
2017,farms_3_household,prod_1_agri,99.3
2018,farms_3_household,prod_1_agri,101.5
2019,farms_3_household,prod_1_agri,99.0
2020,farms_3_household,prod_1_agri,93.8
2021,farms_3_household,prod_1_agri,105.1
2022,farms_3_household,prod_1_agri,80.5
2023,farms_3_household,prod_1_agri,100.2
2015,farms_3_household,prod_2_crop,95.5
2016,farms_3_household,prod_2_crop,102.5
2017,farms_3_household,prod_2_crop,99.1
2018,farms_3_household,prod_2_crop,103.1
2019,farms_3_household,prod_2_crop,100.1
2020,farms_3_household,prod_2_crop,93.0
2021,farms_3_household,prod_2_crop,110.8
2022,farms_3_household,prod_2_crop,79.2
2023,farms_3_household,prod_2_crop,102.4
2015,farms_3_household,prod_3_livestock,96.3
2016,farms_3_household,prod_3_livestock,97.1
2017,farms_3_household,prod_3_livestock,99.6
2018,farms_3_household,prod_3_livestock,98.2
2019,farms_3_household,prod_3_livestock,96.6
2020,farms_3_household,prod_3_livestock,95.7
2021,farms_3_household,prod_3_livestock,92.3
2022,farms_3_household,prod_3_livestock,83.9
2023,farms_3_household,prod_3_livestock,94.8
