Year,Region,Value
2015,,28.9
2016,,27.4
2017,,26.7
2018,,25.5
2019,,23.4
2020,,24.9
2021,,24.9
2022,,
2023,,
2015,11_reg_Vinnytsya,22.5
2016,11_reg_Vinnytsya,20.5
2017,11_reg_Vinnytsya,23.9
2018,11_reg_Vinnytsya,21.4
2019,11_reg_Vinnytsya,17.8
2020,11_reg_Vinnytsya,22.9
2021,11_reg_Vinnytsya,25.2
2022,11_reg_Vinnytsya,
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,26.6
2016,12_reg_Volyn,21.1
2017,12_reg_Volyn,24.5
2018,12_reg_Volyn,27.2
2019,12_reg_Volyn,25.1
2020,12_reg_Volyn,19.0
2021,12_reg_Volyn,16.0
2022,12_reg_Volyn,
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,31.9
2016,13_reg_Dnipropetrovsk,31.4
2017,13_reg_Dnipropetrovsk,28.3
2018,13_reg_Dnipropetrovsk,27.8
2019,13_reg_Dnipropetrovsk,27.5
2020,13_reg_Dnipropetrovsk,30.0
2021,13_reg_Dnipropetrovsk,30.9
2022,13_reg_Dnipropetrovsk,
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,
2020,14_reg_Donetsk,
2021,14_reg_Donetsk,
2022,14_reg_Donetsk,
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,31.1
2016,15_reg_Zhytomyr,37.8
2017,15_reg_Zhytomyr,27.6
2018,15_reg_Zhytomyr,22.2
2019,15_reg_Zhytomyr,23.9
2020,15_reg_Zhytomyr,27.9
2021,15_reg_Zhytomyr,29.3
2022,15_reg_Zhytomyr,
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,26.1
2016,16_reg_Zakarpattya,23.4
2017,16_reg_Zakarpattya,25.4
2018,16_reg_Zakarpattya,22.8
2019,16_reg_Zakarpattya,19.9
2020,16_reg_Zakarpattya,25.1
2021,16_reg_Zakarpattya,20.8
2022,16_reg_Zakarpattya,
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,36.4
2016,17_reg_Zaporizhzhya,37.0
2017,17_reg_Zaporizhzhya,35.3
2018,17_reg_Zaporizhzhya,37.3
2019,17_reg_Zaporizhzhya,31.5
2020,17_reg_Zaporizhzhya,37.2
2021,17_reg_Zaporizhzhya,36.2
2022,17_reg_Zaporizhzhya,
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,14.5
2016,18_reg_Ivano-Frankivsk,16.0
2017,18_reg_Ivano-Frankivsk,15.0
2018,18_reg_Ivano-Frankivsk,13.7
2019,18_reg_Ivano-Frankivsk,11.1
2020,18_reg_Ivano-Frankivsk,11.5
2021,18_reg_Ivano-Frankivsk,12.5
2022,18_reg_Ivano-Frankivsk,
2023,18_reg_Ivano-Frankivsk,
2015,19_reg_Kyiv,27.3
2016,19_reg_Kyiv,27.6
2017,19_reg_Kyiv,30.1
2018,19_reg_Kyiv,26.5
2019,19_reg_Kyiv,25.1
2020,19_reg_Kyiv,27.7
2021,19_reg_Kyiv,25.7
2022,19_reg_Kyiv,
