Year,Level_ed,Sex,Age,Value
2015,1_сompl_higher,,15-24 years,10.5
2016,1_сompl_higher,,15-24 years,9.7
2017,1_сompl_higher,,15-24 years,9.7
2018,1_сompl_higher,,15-24 years,9.1
2019,1_сompl_higher,,15-24 years,9.9
2020,1_сompl_higher,,15-24 years,7.8
2021,1_сompl_higher,,15-24 years,7.3
2022,1_сompl_higher,,15-24 years,
2023,1_сompl_higher,,15-24 years,
2015,1_сompl_higher,,25-64 years,28.8
2016,1_сompl_higher,,25-64 years,29.3
2017,1_сompl_higher,,25-64 years,29.9
2018,1_сompl_higher,,25-64 years,30.8
2019,1_сompl_higher,,25-64 years,29.5
2020,1_сompl_higher,,25-64 years,29.9
2021,1_сompl_higher,,25-64 years,30.1
2022,1_сompl_higher,,25-64 years,
2023,1_сompl_higher,,25-64 years,
2015,1_сompl_higher,females,15-24 years,12.8
2016,1_сompl_higher,females,15-24 years,11.6
2017,1_сompl_higher,females,15-24 years,11.0
2018,1_сompl_higher,females,15-24 years,10.0
2019,1_сompl_higher,females,15-24 years,11.4
2020,1_сompl_higher,females,15-24 years,9.5
2021,1_сompl_higher,females,15-24 years,8.7
2022,1_сompl_higher,females,15-24 years,
2023,1_сompl_higher,females,15-24 years,
2015,1_сompl_higher,females,25-64 years,31.0
2016,1_сompl_higher,females,25-64 years,31.4
2017,1_сompl_higher,females,25-64 years,32.0
2018,1_сompl_higher,females,25-64 years,33.2
2019,1_сompl_higher,females,25-64 years,32.0
2020,1_сompl_higher,females,25-64 years,32.4
2021,1_сompl_higher,females,25-64 years,32.5
2022,1_сompl_higher,females,25-64 years,
2023,1_сompl_higher,females,25-64 years,
2015,1_сompl_higher,males,15-24 years,8.3
2016,1_сompl_higher,males,15-24 years,7.8
2017,1_сompl_higher,males,15-24 years,8.5
2018,1_сompl_higher,males,15-24 years,8.2
2019,1_сompl_higher,males,15-24 years,8.6
2020,1_сompl_higher,males,15-24 years,6.3
2021,1_сompl_higher,males,15-24 years,5.9
2022,1_сompl_higher,males,15-24 years,
2023,1_сompl_higher,males,15-24 years,
2015,1_сompl_higher,males,25-64 years,26.4
2016,1_сompl_higher,males,25-64 years,27.0
2017,1_сompl_higher,males,25-64 years,27.6
2018,1_сompl_higher,males,25-64 years,28.1
2019,1_сompl_higher,males,25-64 years,26.7
2020,1_сompl_higher,males,25-64 years,27.1
2021,1_сompl_higher,males,25-64 years,27.5
2022,1_сompl_higher,males,25-64 years,
2023,1_сompl_higher,males,25-64 years,
2015,2_bas_higher,,15-24 years,4.8
2016,2_bas_higher,,15-24 years,5.0
2017,2_bas_higher,,15-24 years,4.9
2018,2_bas_higher,,15-24 years,5.0
2019,2_bas_higher,,15-24 years,5.3
2020,2_bas_higher,,15-24 years,5.0
2021,2_bas_higher,,15-24 years,5.2
2022,2_bas_higher,,15-24 years,
2023,2_bas_higher,,15-24 years,
2015,2_bas_higher,,25-64 years,0.8
2016,2_bas_higher,,25-64 years,0.8
2017,2_bas_higher,,25-64 years,0.8
2018,2_bas_higher,,25-64 years,1.0
2019,2_bas_higher,,25-64 years,1.5
2020,2_bas_higher,,25-64 years,1.4
2021,2_bas_higher,,25-64 years,1.6
2022,2_bas_higher,,25-64 years,
2023,2_bas_higher,,25-64 years,
2015,2_bas_higher,females,15-24 years,5.0
2016,2_bas_higher,females,15-24 years,5.2
2017,2_bas_higher,females,15-24 years,5.1
2018,2_bas_higher,females,15-24 years,5.8
2019,2_bas_higher,females,15-24 years,5.5
2020,2_bas_higher,females,15-24 years,5.2
2021,2_bas_higher,females,15-24 years,5.8
2022,2_bas_higher,females,15-24 years,
2023,2_bas_higher,females,15-24 years,
2015,2_bas_higher,females,25-64 years,0.8
2016,2_bas_higher,females,25-64 years,0.9
2017,2_bas_higher,females,25-64 years,0.9
2018,2_bas_higher,females,25-64 years,1.0
2019,2_bas_higher,females,25-64 years,1.5
2020,2_bas_higher,females,25-64 years,1.5
2021,2_bas_higher,females,25-64 years,1.5
2022,2_bas_higher,females,25-64 years,
2023,2_bas_higher,females,25-64 years,
2015,2_bas_higher,males,15-24 years,4.5
2016,2_bas_higher,males,15-24 years,4.9
2017,2_bas_higher,males,15-24 years,4.7
