Year,Gender,Type of residence,Unit,Value
2015,,,Percentage,
2016,,,Percentage,
2017,,,Percentage,
2018,,,Percentage,
2019,,,Percentage,
2020,,,Percentage,212.0
2021,,,Percentage,
2022,,,Percentage,
2023,,,Percentage,
2015,females,,min_day,
2016,females,,min_day,
2017,females,,min_day,
2018,females,,min_day,
2019,females,,min_day,
2020,females,,min_day,274.0
2021,females,,min_day,
2022,females,,min_day,
2023,females,,min_day,
2015,males,,min_day,
2016,males,,min_day,
2017,males,,min_day,
2018,males,,min_day,
2019,males,,min_day,
2020,males,,min_day,129.0
2021,males,,min_day,
2022,males,,min_day,
2023,males,,min_day,
2015,,urban,Percentage,
2016,,urban,Percentage,
2017,,urban,Percentage,
2018,,urban,Percentage,
2019,,urban,Percentage,
2020,,urban,Percentage,207.0
2021,,urban,Percentage,
2022,,urban,Percentage,
2023,,urban,Percentage,
2015,females,urban,min_day,
2016,females,urban,min_day,
2017,females,urban,min_day,
2018,females,urban,min_day,
2019,females,urban,min_day,
2020,females,urban,min_day,257.0
2021,females,urban,min_day,
2022,females,urban,min_day,
2023,females,urban,min_day,
2015,males,urban,min_day,
2016,males,urban,min_day,
2017,males,urban,min_day,
2018,males,urban,min_day,
2019,males,urban,min_day,
2020,males,urban,min_day,124.0
2021,males,urban,min_day,
2022,males,urban,min_day,
2023,males,urban,min_day,
2015,,rural,Percentage,
2016,,rural,Percentage,
2017,,rural,Percentage,
2018,,rural,Percentage,
2019,,rural,Percentage,
2020,,rural,Percentage,256.0
2021,,rural,Percentage,
2022,,rural,Percentage,
2023,,rural,Percentage,
2015,females,rural,min_day,
2016,females,rural,min_day,
2017,females,rural,min_day,
2018,females,rural,min_day,
2019,females,rural,min_day,
2020,females,rural,min_day,382.0
2021,females,rural,min_day,
2022,females,rural,min_day,
2023,females,rural,min_day,
2015,males,rural,min_day,
2016,males,rural,min_day,
2017,males,rural,min_day,
2018,males,rural,min_day,
2019,males,rural,min_day,
2020,males,rural,min_day,149.0
2021,males,rural,min_day,
2022,males,rural,min_day,
2023,males,rural,min_day,
