Year,Generation,Value
2015,,157.7
2016,,154.8
2017,,155.4
2018,,159.4
2019,,154.0
2020,,148.9
2021,,156.6
2022,,113.5
2023,,105.8
2015,el_1_power,49.4
2016,el_1_power,49.9
2017,el_1_power,45.0
2018,el_1_power,47.8
2019,el_1_power,44.9
2020,el_1_power,39.6
2021,el_1_power,37.2
2022,el_1_power,24.3
2023,el_1_power,23.3
2015,el_2_CHP,6.1
2016,el_2_CHP,6.7
2017,el_2_CHP,10.9
2018,el_2_CHP,11.0
2019,el_2_CHP,10.9
2020,el_2_CHP,12.8
2021,el_2_CHP,8.6
2022,el_2_CHP,5.8
2023,el_2_CHP,6.9
2015,el_3_HPP,5.2
2016,el_3_HPP,7.5
2017,el_3_HPP,9.0
2018,el_3_HPP,10.4
2019,el_3_HPP,6.5
2020,el_3_HPP,6.0
2021,el_3_HPP,9.2
2022,el_3_HPP,9.7
2023,el_3_HPP,11.2
2015,el_4_PSP,1.6
2016,el_4_PSP,1.6
2017,el_4_PSP,1.6
2018,el_4_PSP,1.6
2019,el_4_PSP,1.3
2020,el_4_PSP,1.6
2021,el_4_PSP,1.3
2022,el_4_PSP,1.3
2023,el_4_PSP,1.3
2015,el_5_NPP,87.6
2016,el_5_NPP,81.0
2017,el_5_NPP,85.6
2018,el_5_NPP,84.4
2019,el_5_NPP,83.0
2020,el_5_NPP,76.2
2021,el_5_NPP,86.2
2022,el_5_NPP,62.2
2023,el_5_NPP,52.1
2015,el_6_plants,6.2
2016,el_6_plants,6.6
2017,el_6_plants,1.5
2018,el_6_plants,1.5
2019,el_6_plants,1.8
2020,el_6_plants,1.8
2021,el_6_plants,1.6
2022,el_6_plants,0.7
2023,el_6_plants,0.6
2015,el_7_alternative,1.6
2016,el_7_alternative,1.6
2017,el_7_alternative,1.9
2018,el_7_alternative,2.6
2019,el_7_alternative,5.5
2020,el_7_alternative,10.9
2021,el_7_alternative,12.5
2022,el_7_alternative,9.5
2023,el_7_alternative,10.4
