Year,m_trans,Value
2015,,1474.3
2016,,1542.6
2017,,1582.0
2018,,1643.0
2019,,1578.8
2020,,1641.0
2021,,1518.6
2022,,
2023,,
2015,tr_1_rail,350.0
2016,tr_1_rail,343.4
2017,tr_1_rail,339.5
2018,tr_1_rail,322.4
2019,tr_1_rail,312.9
2020,tr_1_rail,305.5
2021,tr_1_rail,314.3
2022,tr_1_rail,
2023,tr_1_rail,
2015,tr_2_motor,1020.6
2016,tr_2_motor,1085.7
2017,tr_2_motor,1121.7
2018,tr_2_motor,1205.5
2019,tr_2_motor,1147.0
2020,tr_2_motor,1232.4
2021,tr_2_motor,1121.3
2022,tr_2_motor,
2023,tr_2_motor,
2015,tr_3_sea,3.3
2016,tr_3_sea,3.0
2017,tr_3_sea,2.3
2018,tr_3_sea,1.9
2019,tr_3_sea,2.1
2020,tr_3_sea,1.8
2021,tr_3_sea,1.8
2022,tr_3_sea,
2023,tr_3_sea,
2015,tr_4_river,3.1
2016,tr_4_river,3.7
2017,tr_4_river,3.6
2018,tr_4_river,3.7
2019,tr_4_river,4.0
2020,tr_4_river,3.8
2021,tr_4_river,3.5
2022,tr_4_river,
2023,tr_4_river,
2015,tr_5_pipeline,97.2
2016,tr_5_pipeline,106.7
2017,tr_5_pipeline,114.8
2018,tr_5_pipeline,109.4
2019,tr_5_pipeline,112.7
2020,tr_5_pipeline,97.4
2021,tr_5_pipeline,77.6
2022,tr_5_pipeline,
2023,tr_5_pipeline,
2015,tr_6_air,0.1
2016,tr_6_air,0.1
2017,tr_6_air,0.1
2018,tr_6_air,0.1
2019,tr_6_air,0.1
2020,tr_6_air,0.1
2021,tr_6_air,0.1
2022,tr_6_air,
2023,tr_6_air,
