Year,m_trans,Value
2015,,5166.8
2016,,4853.8
2017,,4648.2
2018,,4487.1
2019,,4262.3
2020,,2570.2
2021,,2655.4
2022,,1600.6
2023,,
2015,tr_1_rail,389.8
2016,tr_1_rail,389.1
2017,tr_1_rail,164.9
2018,tr_1_rail,158.0
2019,tr_1_rail,154.8
2020,tr_1_rail,68.3
2021,tr_1_rail,81.3
2022,tr_1_rail,
2023,tr_1_rail,
2015,tr_2_motor,2250.3
2016,tr_2_motor,2024.9
2017,tr_2_motor,2019.3
2018,tr_2_motor,1906.8
2019,tr_2_motor,1804.9
2020,tr_2_motor,1083.9
2021,tr_2_motor,1089.3
2022,tr_2_motor,
2023,tr_2_motor,
2015,tr_3_sea,0.0
2016,tr_3_sea,0.0
2017,tr_3_sea,0.0
2018,tr_3_sea,0.1
2019,tr_3_sea,0.1
2020,tr_3_sea,0.1
2021,tr_3_sea,0.1
2022,tr_3_sea,
2023,tr_3_sea,
2015,tr_4_river,0.6
2016,tr_4_river,0.4
2017,tr_4_river,0.6
2018,tr_4_river,0.6
2019,tr_4_river,0.6
2020,tr_4_river,0.2
2021,tr_4_river,0.4
2022,tr_4_river,
2023,tr_4_river,
2015,tr_6_air,6.3
2016,tr_6_air,8.3
2017,tr_6_air,10.6
2018,tr_6_air,12.5
2019,tr_6_air,13.7
2020,tr_6_air,4.8
2021,tr_6_air,9.3
2022,tr_6_air,
2023,tr_6_air,
2015,3_tr_urban,2519.8
2016,3_tr_urban,2431.1
2017,3_tr_urban,2452.8
2018,3_tr_urban,2409.1
2019,3_tr_urban,2288.2
2020,3_tr_urban,1412.9
2021,3_tr_urban,1475.0
2022,3_tr_urban,
2023,3_tr_urban,
2015,tr_7_tram,738.6
2016,tr_7_tram,694.0
2017,tr_7_tram,675.8
2018,tr_7_tram,666.3
2019,tr_7_tram,627.5
2020,tr_7_tram,422.8
2021,tr_7_tram,398.0
2022,tr_7_tram,
2023,tr_7_tram,
2015,tr_8_trolley,1080.8
2016,tr_8_trolley,1038.7
2017,tr_8_trolley,1058.1
2018,tr_8_trolley,1016.2
2019,tr_8_trolley,945.7
2020,tr_8_trolley,579.0
2021,tr_8_trolley,594.4
2022,tr_8_trolley,
2023,tr_8_trolley,
2015,tr_9_subway,700.4
2016,tr_9_subway,698.4
2017,tr_9_subway,718.9
2018,tr_9_subway,726.6
2019,tr_9_subway,715.0
2020,tr_9_subway,411.1
2021,tr_9_subway,482.6
2022,tr_9_subway,
2023,tr_9_subway,
