Year,Type of residence,Region,Value
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,46.0
2020,,,52.0
2021,,,55.0
2022,,,57.0
2023,,,62.0
2015,,11_reg_Vinnytsya,
2016,,11_reg_Vinnytsya,
2017,,11_reg_Vinnytsya,
2018,,11_reg_Vinnytsya,
2019,,11_reg_Vinnytsya,38.0
2020,,11_reg_Vinnytsya,43.0
2021,,11_reg_Vinnytsya,45.0
2022,,11_reg_Vinnytsya,48.0
2023,,11_reg_Vinnytsya,55.0
2015,,12_reg_Volyn,
2016,,12_reg_Volyn,
2017,,12_reg_Volyn,
2018,,12_reg_Volyn,
2019,,12_reg_Volyn,51.0
2020,,12_reg_Volyn,54.0
2021,,12_reg_Volyn,63.0
2022,,12_reg_Volyn,60.0
2023,,12_reg_Volyn,65.0
2015,,13_reg_Dnipropetrovsk,
2016,,13_reg_Dnipropetrovsk,
2017,,13_reg_Dnipropetrovsk,
2018,,13_reg_Dnipropetrovsk,
2019,,13_reg_Dnipropetrovsk,48.0
2020,,13_reg_Dnipropetrovsk,51.0
2021,,13_reg_Dnipropetrovsk,54.0
2022,,13_reg_Dnipropetrovsk,57.0
2023,,13_reg_Dnipropetrovsk,60.0
2015,,14_reg_Donetsk,
2016,,14_reg_Donetsk,
2017,,14_reg_Donetsk,
2018,,14_reg_Donetsk,
2019,,14_reg_Donetsk,31.0
2020,,14_reg_Donetsk,38.0
2021,,14_reg_Donetsk,38.0
2022,,14_reg_Donetsk,
2023,,14_reg_Donetsk,
2015,,15_reg_Zhytomyr,
2016,,15_reg_Zhytomyr,
2017,,15_reg_Zhytomyr,
2018,,15_reg_Zhytomyr,
2019,,15_reg_Zhytomyr,32.0
2020,,15_reg_Zhytomyr,41.0
2021,,15_reg_Zhytomyr,48.0
2022,,15_reg_Zhytomyr,52.0
2023,,15_reg_Zhytomyr,56.0
2015,,16_reg_Zakarpattya,
2016,,16_reg_Zakarpattya,
2017,,16_reg_Zakarpattya,
2018,,16_reg_Zakarpattya,
2019,,16_reg_Zakarpattya,35.0
2020,,16_reg_Zakarpattya,37.0
2021,,16_reg_Zakarpattya,41.0
2022,,16_reg_Zakarpattya,46.0
2023,,16_reg_Zakarpattya,46.0
2015,,17_reg_Zaporizhzhya,
2016,,17_reg_Zaporizhzhya,
