Year,strategy,Unit,Value
2015,10_phase,per,88.0
2016,10_phase,per,100.0
2017,10_phase,per,100.0
2018,10_phase,per,100.0
2019,10_phase,per,100.0
2020,10_phase,per,100.0
2021,10_phase,per,100.0
2022,10_phase,per,100.0
2023,10_phase,per,100.0
2015,10_phase,number,22.0
2016,10_phase,number,25.0
2017,10_phase,number,25.0
2018,10_phase,number,25.0
2019,10_phase,number,25.0
2020,10_phase,number,25.0
2021,10_phase,number,25.0
2022,10_phase,number,25.0
2023,10_phase,number,25.0
2015,11_phase,per,64.0
2016,11_phase,per,96.0
2017,11_phase,per,100.0
2018,11_phase,per,
2019,11_phase,per,
2020,11_phase,per,
2021,11_phase,per,100.0
2022,11_phase,per,100.0
2023,11_phase,per,100.0
2015,11_phase,number,16.0
2016,11_phase,number,24.0
2017,11_phase,number,25.0
2018,11_phase,number,
2019,11_phase,number,
2020,11_phase,number,
2021,11_phase,number,25.0
2022,11_phase,number,25.0
2023,11_phase,number,25.0
2015,12_phase,per,
2016,12_phase,per,
2017,12_phase,per,52.0
2018,12_phase,per,84.0
2019,12_phase,per,92.0
2020,12_phase,per,100.0
2021,12_phase,per,
2022,12_phase,per,
2023,12_phase,per,
2015,12_phase,number,
2016,12_phase,number,
2017,12_phase,number,13.0
2018,12_phase,number,21.0
2019,12_phase,number,23.0
2020,12_phase,number,25.0
2021,12_phase,number,
2022,12_phase,number,
2023,12_phase,number,
