Year,Res_inten,Value
2015,int_1_energy,100.0
2016,int_1_energy,102.3
2017,int_1_energy,94.7
2018,int_1_energy,95.2
2019,int_1_energy,88.5
2020,int_1_energy,88.9
2021,int_1_energy,
2022,int_1_energy,
2023,int_1_energy,
2015,int_2_mater,100.0
2016,int_2_mater,100.0
2017,int_2_mater,98.2
2018,int_2_mater,97.2
2019,int_2_mater,100.4
2020,int_2_mater,99.9
2021,int_2_mater,108.2
2022,int_2_mater,
2023,int_2_mater,
2015,int_3_carbon,100.0
2016,int_3_carbon,105.8
2017,int_3_carbon,85.1
2018,int_3_carbon,83.8
2019,int_3_carbon,77.9
2020,int_3_carbon,72.8
2021,int_3_carbon,72.2
2022,int_3_carbon,
2023,int_3_carbon,
2015,int_4_water,100.0
2016,int_4_water,98.2
2017,int_4_water,91.7
2018,int_4_water,95.1
2019,int_4_water,91.6
2020,int_4_water,94.2
2021,int_4_water,77.3
2022,int_4_water,60.1
2023,int_4_water,
2015,int_5_waste,100.0
2016,int_5_waste,92.5
2017,int_5_waste,111.6
2018,int_5_waste,103.9
2019,int_5_waste,126.1
2020,int_5_waste,137.3
2021,int_5_waste,141.6
2022,int_5_waste,
2023,int_5_waste,
