Year,Article,Group,Unit,Value
2015,1_art_all,1_all,1_vict_per_100,965.12
2016,1_art_all,1_all,1_vict_per_100,1044.08
2017,1_art_all,1_all,1_vict_per_100,882.92
2018,1_art_all,1_all,1_vict_per_100,817.92
2019,1_art_all,1_all,1_vict_per_100,720.23
2020,1_art_all,1_all,1_vict_per_100,564.62
2021,1_art_all,1_all,1_vict_per_100,479.2
2022,1_art_all,1_all,1_vict_per_100,560.98
2023,1_art_all,1_all,1_vict_per_100,862.39
2015,1_art_all,1_all,2_vict_all,412689.0
2016,1_art_all,1_all,2_vict_all,444617.0
2017,1_art_all,1_all,2_vict_all,374238.0
2018,1_art_all,1_all,2_vict_all,344780.0
2019,1_art_all,1_all,2_vict_all,301792.0
2020,1_art_all,1_all,2_vict_all,234816.0
2021,1_art_all,1_all,2_vict_all,197274.0
2022,1_art_all,1_all,2_vict_all,230939.0
2023,1_art_all,1_all,2_vict_all,355023.0
2015,1_art_all,2_females,2_vict_all,156190.0
2016,1_art_all,2_females,2_vict_all,167099.0
2017,1_art_all,2_females,2_vict_all,133633.0
2018,1_art_all,2_females,2_vict_all,118444.0
2019,1_art_all,2_females,2_vict_all,102448.0
2020,1_art_all,2_females,2_vict_all,74885.0
2021,1_art_all,2_females,2_vict_all,60476.0
2022,1_art_all,2_females,2_vict_all,61666.0
2023,1_art_all,2_females,2_vict_all,114163.0
2015,1_art_all,3_adolescents,2_vict_all,4809.0
2016,1_art_all,3_adolescents,2_vict_all,4838.0
2017,1_art_all,3_adolescents,2_vict_all,4095.0
2018,1_art_all,3_adolescents,2_vict_all,3701.0
2019,1_art_all,3_adolescents,2_vict_all,3249.0
2020,1_art_all,3_adolescents,2_vict_all,3202.0
2021,1_art_all,3_adolescents,2_vict_all,3661.0
2022,1_art_all,3_adolescents,2_vict_all,6047.0
2023,1_art_all,3_adolescents,2_vict_all,7289.0
2015,1_art_all,4_young,2_vict_all,2241.0
2016,1_art_all,4_young,2_vict_all,2362.0
2017,1_art_all,4_young,2_vict_all,2208.0
2018,1_art_all,4_young,2_vict_all,2217.0
2019,1_art_all,4_young,2_vict_all,2222.0
2020,1_art_all,4_young,2_vict_all,2034.0
2021,1_art_all,4_young,2_vict_all,2214.0
2022,1_art_all,4_young,2_vict_all,2561.0
2023,1_art_all,4_young,2_vict_all,4206.0
2015,2_art_115_118,1_all,1_vict_per_100,14.8
2016,2_art_115_118,1_all,1_vict_per_100,8.24
2017,2_art_115_118,1_all,1_vict_per_100,6.49
2018,2_art_115_118,1_all,1_vict_per_100,3.93
2019,2_art_115_118,1_all,1_vict_per_100,3.72
2020,2_art_115_118,1_all,1_vict_per_100,3.9
2021,2_art_115_118,1_all,1_vict_per_100,3.3
2022,2_art_115_118,1_all,1_vict_per_100,27.09
2023,2_art_115_118,1_all,1_vict_per_100,111.97
2015,2_art_115_118,1_all,2_vict_all,6330.0
2016,2_art_115_118,1_all,2_vict_all,3511.0
2017,2_art_115_118,1_all,2_vict_all,2751.0
2018,2_art_115_118,1_all,2_vict_all,1657.0
2019,2_art_115_118,1_all,2_vict_all,1557.0
2020,2_art_115_118,1_all,2_vict_all,1624.0
2021,2_art_115_118,1_all,2_vict_all,1346.0
2022,2_art_115_118,1_all,2_vict_all,11154.0
2023,2_art_115_118,1_all,2_vict_all,46095.0
2015,2_art_115_118,2_females,2_vict_all,1214.0
2016,2_art_115_118,2_females,2_vict_all,980.0
2017,2_art_115_118,2_females,2_vict_all,461.0
2018,2_art_115_118,2_females,2_vict_all,465.0
2019,2_art_115_118,2_females,2_vict_all,429.0
2020,2_art_115_118,2_females,2_vict_all,405.0
2021,2_art_115_118,2_females,2_vict_all,353.0
2022,2_art_115_118,2_females,2_vict_all,376.0
2023,2_art_115_118,2_females,2_vict_all,342.0
2015,2_art_115_118,3_adolescents,2_vict_all,55.0
2016,2_art_115_118,3_adolescents,2_vict_all,36.0
2017,2_art_115_118,3_adolescents,2_vict_all,19.0
2018,2_art_115_118,3_adolescents,2_vict_all,19.0
2019,2_art_115_118,3_adolescents,2_vict_all,12.0
2020,2_art_115_118,3_adolescents,2_vict_all,18.0
2021,2_art_115_118,3_adolescents,2_vict_all,10.0
2022,2_art_115_118,3_adolescents,2_vict_all,9.0
2023,2_art_115_118,3_adolescents,2_vict_all,145.0
2015,2_art_115_118,4_young,2_vict_all,91.0
2016,2_art_115_118,4_young,2_vict_all,79.0
2017,2_art_115_118,4_young,2_vict_all,41.0
2018,2_art_115_118,4_young,2_vict_all,46.0
2019,2_art_115_118,4_young,2_vict_all,39.0
2020,2_art_115_118,4_young,2_vict_all,45.0
2021,2_art_115_118,4_young,2_vict_all,32.0
2022,2_art_115_118,4_young,2_vict_all,25.0
2023,2_art_115_118,4_young,2_vict_all,20.0
