Year,Age,Sex,Value
2015,,,
2016,,,
2017,,,51.0
2018,,,50.0
2019,,,57.0
2020,,,
2021,,,
2022,,,
2023,,,
2015,age_1_18_35,,
2016,age_1_18_35,,
2017,age_1_18_35,,50.0
2018,age_1_18_35,,50.0
2019,age_1_18_35,,57.0
2020,age_1_18_35,,
2021,age_1_18_35,,
2022,age_1_18_35,,
2023,age_1_18_35,,
2015,age_2_36_60,,
2016,age_2_36_60,,
2017,age_2_36_60,,50.0
2018,age_2_36_60,,50.0
2019,age_2_36_60,,57.0
2020,age_2_36_60,,
2021,age_2_36_60,,
2022,age_2_36_60,,
2023,age_2_36_60,,
2015,age_3_61,,
2016,age_3_61,,
2017,age_3_61,,53.0
2018,age_3_61,,51.0
2019,age_3_61,,58.0
2020,age_3_61,,
2021,age_3_61,,
2022,age_3_61,,
2023,age_3_61,,
2015,,male,
2016,,male,
2017,,male,50.0
2018,,male,50.0
2019,,male,58.0
2020,,male,
2021,,male,
2022,,male,
2023,,male,
2015,,female,
2016,,female,
2017,,female,51.0
2018,,female,50.0
2019,,female,57.0
2020,,female,
2021,,female,
2022,,female,
2023,,female,
