Year,Group,Value
2015,,88.6
2016,,108.9
2017,,107.1
2018,,98.5
2019,,103.9
2020,,99.5
2021,,94.1
2022,,79.0
2023,,115.6
2015,prod_1_meat,100.2
2016,prod_1_meat,104.1
2017,prod_1_meat,104.3
2018,prod_1_meat,99.9
2019,prod_1_meat,102.0
2020,prod_1_meat,100.0
2021,prod_1_meat,103.9
2022,prod_1_meat,89.0
2023,prod_1_meat,106.0
2015,prod_2_fish,78.5
2016,prod_2_fish,128.4
2017,prod_2_fish,109.2
2018,prod_2_fish,114.1
2019,prod_2_fish,104.0
2020,prod_2_fish,97.4
2021,prod_2_fish,112.1
2022,prod_2_fish,60.3
2023,prod_2_fish,129.6
2015,prod_3_fru_veg,84.7
2016,prod_3_fru_veg,106.0
2017,prod_3_fru_veg,101.6
2018,prod_3_fru_veg,109.9
2019,prod_3_fru_veg,99.4
2020,prod_3_fru_veg,105.6
2021,prod_3_fru_veg,108.8
2022,prod_3_fru_veg,53.5
2023,prod_3_fru_veg,119.8
2015,prod_4_oil,85.9
2016,prod_4_oil,118.4
2017,prod_4_oil,117.5
2018,prod_4_oil,97.9
2019,prod_4_oil,113.7
2020,prod_4_oil,104.8
2021,prod_4_oil,80.4
2022,prod_4_oil,75.3
2023,prod_4_oil,126.2
2015,prod_5_dairy,91.7
2016,prod_5_dairy,99.7
2017,prod_5_dairy,100.8
2018,prod_5_dairy,101.7
2019,prod_5_dairy,95.1
2020,prod_5_dairy,100.2
2021,prod_5_dairy,94.5
2022,prod_5_dairy,79.6
2023,prod_5_dairy,104.0
2015,prod_6_starch,101.1
2016,prod_6_starch,103.1
2017,prod_6_starch,98.9
2018,prod_6_starch,89.2
2019,prod_6_starch,104.1
2020,prod_6_starch,93.6
2021,prod_6_starch,100.6
2022,prod_6_starch,75.7
2023,prod_6_starch,107.2
2015,prod_7_flour,94.7
2016,prod_7_flour,97.7
2017,prod_7_flour,95.1
2018,prod_7_flour,91.2
2019,prod_7_flour,104.2
2020,prod_7_flour,87.0
2021,prod_7_flour,90.8
2022,prod_7_flour,87.2
2023,prod_7_flour,101.9
2015,prod_8_bread,85.3
2016,prod_8_bread,97.6
2017,prod_8_bread,98.5
2018,prod_8_bread,95.0
2019,prod_8_bread,94.0
2020,prod_8_bread,95.7
2021,prod_8_bread,102.2
2022,prod_8_bread,78.0
2023,prod_8_bread,103.2
2015,prod_9_cakes,87.4
2016,prod_9_cakes,96.0
2017,prod_9_cakes,95.4
2018,prod_9_cakes,93.2
2019,prod_9_cakes,91.1
2020,prod_9_cakes,95.3
2021,prod_9_cakes,102.8
2022,prod_9_cakes,80.4
2023,prod_9_cakes,103.5
2015,prod_10_rusks,80.7
2016,prod_10_rusks,101.4
2017,prod_10_rusks,105.1
2018,prod_10_rusks,99.2
2019,prod_10_rusks,99.3
2020,prod_10_rusks,96.5
2021,prod_10_rusks,101.9
2022,prod_10_rusks,73.8
2023,prod_10_rusks,102.8
2015,prod_11_other,77.6
2016,prod_11_other,111.3
2017,prod_11_other,102.2
2018,prod_11_other,98.3
2019,prod_11_other,93.4
2020,prod_11_other,87.1
2021,prod_11_other,109.4
2022,prod_11_other,78.1
2023,prod_11_other,122.4
2015,prod_12_sugar,69.1
2016,prod_12_sugar,133.6
2017,prod_12_sugar,100.9
2018,prod_12_sugar,89.6
2019,prod_12_sugar,82.8
2020,prod_12_sugar,67.0
2021,prod_12_sugar,131.9
2022,prod_12_sugar,91.0
2023,prod_12_sugar,135.9
2015,prod_13_cocoa,83.2
2016,prod_13_cocoa,97.2
2017,prod_13_cocoa,106.5
2018,prod_13_cocoa,107.7
2019,prod_13_cocoa,111.3
2020,prod_13_cocoa,98.8
2021,prod_13_cocoa,100.7
2022,prod_13_cocoa,73.5
2023,prod_13_cocoa,116.7
2015,prod_14_tea,93.6
2016,prod_14_tea,103.6
2017,prod_14_tea,95.1
2018,prod_14_tea,104.0
2019,prod_14_tea,97.3
2020,prod_14_tea,93.2
2021,prod_14_tea,106.8
2022,prod_14_tea,65.3
2023,prod_14_tea,103.3
2015,prod_15_spices,84.2
2016,prod_15_spices,100.8
2017,prod_15_spices,103.3
2018,prod_15_spices,100.0
2019,prod_15_spices,101.6
2020,prod_15_spices,104.4
2021,prod_15_spices,95.5
2022,prod_15_spices,70.0
2023,prod_15_spices,105.0
2015,prod_16_not_else,74.7
2016,prod_16_not_else,93.8
2017,prod_16_not_else,102.3
2018,prod_16_not_else,104.9
2019,prod_16_not_else,64.1
2020,prod_16_not_else,92.6
2021,prod_16_not_else,89.7
2022,prod_16_not_else,79.8
2023,prod_16_not_else,120.5
