Year,Group,Region,Gender,Value
2015,,,,37.0
2016,,,,37.0
2017,,,,40.6
2018,,,,40.8
2019,,,,42.6
2020,,,,41.1
2021,,,,40.6
2022,,,,29.8
2023,,,,28.4
2015,,11_reg_Vinnytsya,,18.9
2016,,11_reg_Vinnytsya,,14.5
2017,,11_reg_Vinnytsya,,16.4
2018,,11_reg_Vinnytsya,,18.0
2019,,11_reg_Vinnytsya,,19.3
2020,,11_reg_Vinnytsya,,14.0
2021,,11_reg_Vinnytsya,,11.2
2022,,11_reg_Vinnytsya,,14.3
2023,,11_reg_Vinnytsya,,16.1
2015,,12_reg_Volyn,,26.6
2016,,12_reg_Volyn,,20.5
2017,,12_reg_Volyn,,22.5
2018,,12_reg_Volyn,,21.6
2019,,12_reg_Volyn,,15.1
2020,,12_reg_Volyn,,13.5
2021,,12_reg_Volyn,,11.3
2022,,12_reg_Volyn,,9.7
2023,,12_reg_Volyn,,16.5
2015,,13_reg_Dnipropetrovsk,,88.2
2016,,13_reg_Dnipropetrovsk,,83.2
2017,,13_reg_Dnipropetrovsk,,98.3
2018,,13_reg_Dnipropetrovsk,,94.9
2019,,13_reg_Dnipropetrovsk,,113.2
2020,,13_reg_Dnipropetrovsk,,113.3
2021,,13_reg_Dnipropetrovsk,,107.5
2022,,13_reg_Dnipropetrovsk,,88.4
2023,,13_reg_Dnipropetrovsk,,88.6
2015,,14_reg_Donetsk,,23.9
2016,,14_reg_Donetsk,,58.8
2017,,14_reg_Donetsk,,63.7
2018,,14_reg_Donetsk,,73.0
2019,,14_reg_Donetsk,,78.9
2020,,14_reg_Donetsk,,64.8
2021,,14_reg_Donetsk,,56.2
2022,,14_reg_Donetsk,,7.9
2023,,14_reg_Donetsk,,7.8
2015,,15_reg_Zhytomyr,,36.9
2016,,15_reg_Zhytomyr,,29.1
2017,,15_reg_Zhytomyr,,30.4
2018,,15_reg_Zhytomyr,,32.7
2019,,15_reg_Zhytomyr,,31.5
2020,,15_reg_Zhytomyr,,22.6
2021,,15_reg_Zhytomyr,,20.4
2022,,15_reg_Zhytomyr,,21.4
2023,,15_reg_Zhytomyr,,29.3
2015,,16_reg_Zakarpattya,,5.6
2016,,16_reg_Zakarpattya,,6.7
2017,,16_reg_Zakarpattya,,8.1
2018,,16_reg_Zakarpattya,,9.4
2019,,16_reg_Zakarpattya,,7.4
2020,,16_reg_Zakarpattya,,6.8
2021,,16_reg_Zakarpattya,,6.5
2022,,16_reg_Zakarpattya,,6.0
2023,,16_reg_Zakarpattya,,8.9
2015,,17_reg_Zaporizhzhya,,32.6
2016,,17_reg_Zaporizhzhya,,35.3
2017,,17_reg_Zaporizhzhya,,32.8
2018,,17_reg_Zaporizhzhya,,35.2
2019,,17_reg_Zaporizhzhya,,31.9
2020,,17_reg_Zaporizhzhya,,26.8
2021,,17_reg_Zaporizhzhya,,25.6
2022,,17_reg_Zaporizhzhya,,20.4
2023,,17_reg_Zaporizhzhya,,19.4
2015,,18_reg_Ivano-Frankivsk,,13.0
2016,,18_reg_Ivano-Frankivsk,,10.4
2017,,18_reg_Ivano-Frankivsk,,10.7
2018,,18_reg_Ivano-Frankivsk,,10.7
2019,,18_reg_Ivano-Frankivsk,,9.5
2020,,18_reg_Ivano-Frankivsk,,4.8
2021,,18_reg_Ivano-Frankivsk,,6.6
2022,,18_reg_Ivano-Frankivsk,,8.5
2023,,18_reg_Ivano-Frankivsk,,9.7
2015,,19_reg_Kyiv,,56.2
2016,,19_reg_Kyiv,,52.7
2017,,19_reg_Kyiv,,49.4
2018,,19_reg_Kyiv,,47.2
2019,,19_reg_Kyiv,,44.3
2020,,19_reg_Kyiv,,44.4
2021,,19_reg_Kyiv,,47.4
2022,,19_reg_Kyiv,,41.1
2023,,19_reg_Kyiv,,42.0
2015,,20_reg_Kirovohrad,,53.1
2016,,20_reg_Kirovohrad,,35.7
2017,,20_reg_Kirovohrad,,51.1
2018,,20_reg_Kirovohrad,,43.1
2019,,20_reg_Kirovohrad,,61.5
2020,,20_reg_Kirovohrad,,43.6
2021,,20_reg_Kirovohrad,,37.3
2022,,20_reg_Kirovohrad,,35.1
2023,,20_reg_Kirovohrad,,37.2
2015,,21_reg_Luhansk,,8.3
2016,,21_reg_Luhansk,,29.3
2017,,21_reg_Luhansk,,29.1
2018,,21_reg_Luhansk,,26.1
2019,,21_reg_Luhansk,,26.9
2020,,21_reg_Luhansk,,18.2
2021,,21_reg_Luhansk,,20.4
2022,,21_reg_Luhansk,,0.5
2023,,21_reg_Luhansk,,0.0
2015,,22_reg_Lviv,,17.9
2016,,22_reg_Lviv,,16.5
2017,,22_reg_Lviv,,15.6
2018,,22_reg_Lviv,,18.0
2019,,22_reg_Lviv,,16.3
2020,,22_reg_Lviv,,10.4
2021,,22_reg_Lviv,,13.2
2022,,22_reg_Lviv,,14.6
2023,,22_reg_Lviv,,21.2
2015,,23_reg_Mykolayiv,,74.3
2016,,23_reg_Mykolayiv,,76.7
2017,,23_reg_Mykolayiv,,67.4
2018,,23_reg_Mykolayiv,,63.8
2019,,23_reg_Mykolayiv,,59.4
2020,,23_reg_Mykolayiv,,50.8
2021,,23_reg_Mykolayiv,,45.0
2022,,23_reg_Mykolayiv,,33.7
2023,,23_reg_Mykolayiv,,42.1
2015,,24_reg_Odesa,,99.5
2016,,24_reg_Odesa,,74.4
2017,,24_reg_Odesa,,98.3
2018,,24_reg_Odesa,,94.5
2019,,24_reg_Odesa,,97.9
2020,,24_reg_Odesa,,150.9
2021,,24_reg_Odesa,,178.3
2022,,24_reg_Odesa,,153.9
2023,,24_reg_Odesa,,78.3
2015,,25_reg_Poltava,,31.1
2016,,25_reg_Poltava,,23.6
2017,,25_reg_Poltava,,21.9
2018,,25_reg_Poltava,,24.8
2019,,25_reg_Poltava,,26.1
2020,,25_reg_Poltava,,17.3
2021,,25_reg_Poltava,,16.4
2022,,25_reg_Poltava,,19.0
2023,,25_reg_Poltava,,20.4
2015,,26_reg_Rivne,,21.4
2016,,26_reg_Rivne,,17.1
2017,,26_reg_Rivne,,14.3
2018,,26_reg_Rivne,,18.4
2019,,26_reg_Rivne,,13.6
2020,,26_reg_Rivne,,11.3
2021,,26_reg_Rivne,,13.0
2022,,26_reg_Rivne,,12.7
2023,,26_reg_Rivne,,16.1
2015,,27_reg_Sumy,,20.0
2016,,27_reg_Sumy,,15.0
2017,,27_reg_Sumy,,16.8
2018,,27_reg_Sumy,,18.5
2019,,27_reg_Sumy,,15.4
2020,,27_reg_Sumy,,11.8
2021,,27_reg_Sumy,,11.7
2022,,27_reg_Sumy,,13.8
2023,,27_reg_Sumy,,17.6
2015,,28_reg_Ternopil,,10.9
2016,,28_reg_Ternopil,,10.9
2017,,28_reg_Ternopil,,7.6
2018,,28_reg_Ternopil,,6.6
2019,,28_reg_Ternopil,,8.3
2020,,28_reg_Ternopil,,7.5
2021,,28_reg_Ternopil,,6.1
2022,,28_reg_Ternopil,,7.7
2023,,28_reg_Ternopil,,8.5
2015,,29_reg_Kharkiv,,19.3
2016,,29_reg_Kharkiv,,19.5
2017,,29_reg_Kharkiv,,21.5
2018,,29_reg_Kharkiv,,21.1
2019,,29_reg_Kharkiv,,22.3
2020,,29_reg_Kharkiv,,24.5
2021,,29_reg_Kharkiv,,21.9
2022,,29_reg_Kharkiv,,12.5
2023,,29_reg_Kharkiv,,22.8
2015,,30_reg_Kherson,,48.9
2016,,30_reg_Kherson,,45.6
2017,,30_reg_Kherson,,52.1
2018,,30_reg_Kherson,,40.5
2019,,30_reg_Kherson,,55.3
2020,,30_reg_Kherson,,46.3
2021,,30_reg_Kherson,,40.2
2022,,30_reg_Kherson,,15.1
2023,,30_reg_Kherson,,7.8
2015,,31_reg_Khmelnytskiy,,14.9
2016,,31_reg_Khmelnytskiy,,12.5
2017,,31_reg_Khmelnytskiy,,14.8
2018,,31_reg_Khmelnytskiy,,17.9
2019,,31_reg_Khmelnytskiy,,16.7
2020,,31_reg_Khmelnytskiy,,12.3
2021,,31_reg_Khmelnytskiy,,10.9
2022,,31_reg_Khmelnytskiy,,11.1
2023,,31_reg_Khmelnytskiy,,15.6
2015,,32_reg_Cherkasy,,43.4
2016,,32_reg_Cherkasy,,39.6
2017,,32_reg_Cherkasy,,34.1
2018,,32_reg_Cherkasy,,36.5
2019,,32_reg_Cherkasy,,39.5
2020,,32_reg_Cherkasy,,25.9
2021,,32_reg_Cherkasy,,20.2
2022,,32_reg_Cherkasy,,22.1
2023,,32_reg_Cherkasy,,23.8
2015,,33_reg_Chernivtsi,,10.8
2016,,33_reg_Chernivtsi,,8.1
2017,,33_reg_Chernivtsi,,8.2
2018,,33_reg_Chernivtsi,,9.0
2019,,33_reg_Chernivtsi,,9.2
2020,,33_reg_Chernivtsi,,5.8
2021,,33_reg_Chernivtsi,,6.8
2022,,33_reg_Chernivtsi,,7.3
2023,,33_reg_Chernivtsi,,10.4
2015,,34_reg_Chernihiv,,47.4
2016,,34_reg_Chernihiv,,37.0
2017,,34_reg_Chernihiv,,44.5
2018,,34_reg_Chernihiv,,42.2
2019,,34_reg_Chernihiv,,44.2
2020,,34_reg_Chernihiv,,40.2
2021,,34_reg_Chernihiv,,35.2
2022,,34_reg_Chernihiv,,28.4
2023,,34_reg_Chernihiv,,38.6
2015,,35_reg_Kyiv_city,,45.2
2016,,35_reg_Kyiv_city,,47.9
2017,,35_reg_Kyiv_city,,53.2
2018,,35_reg_Kyiv_city,,56.7
2019,,35_reg_Kyiv_city,,51.4
2020,,35_reg_Kyiv_city,,42.9
2021,,35_reg_Kyiv_city,,37.8
2022,,35_reg_Kyiv_city,,29.5
2023,,35_reg_Kyiv_city,,36.8
2015,,,female,23.8
2016,,,female,25.8
2017,,,female,30.7
2018,,,female,29.9
2019,,,female,33.4
2020,,,female,28.2
2021,,,female,27.3
2022,,,female,18.7
2023,,,female,18.6
2015,,,male,38.0
2016,,,male,42.8
2017,,,male,52.3
2018,,,male,53.7
2019,,,male,60.2
2020,,,male,56.2
2021,,,male,55.9
2022,,,male,42.6
2023,,,male,39.8
