Year,Region,Age,Value
2015,,,27.3
2016,,,25.3
2017,,,22.4
2018,,,19.7
2019,,,16.9
2020,,,15.8
2021,,,13.8
2022,,,
2023,,,
2015,11_reg_Vinnytsya,,29.7
2016,11_reg_Vinnytsya,,27.0
2017,11_reg_Vinnytsya,,23.8
2018,11_reg_Vinnytsya,,22.6
2019,11_reg_Vinnytsya,,18.2
2020,11_reg_Vinnytsya,,17.9
2021,11_reg_Vinnytsya,,13.6
2022,11_reg_Vinnytsya,,
2023,11_reg_Vinnytsya,,
2015,12_reg_Volyn,,27.1
2016,12_reg_Volyn,,25.1
2017,12_reg_Volyn,,21.0
2018,12_reg_Volyn,,18.3
2019,12_reg_Volyn,,16.7
2020,12_reg_Volyn,,16.5
2021,12_reg_Volyn,,14.6
2022,12_reg_Volyn,,
2023,12_reg_Volyn,,
2015,13_reg_Dnipropetrovsk,,27.3
2016,13_reg_Dnipropetrovsk,,24.6
2017,13_reg_Dnipropetrovsk,,21.4
2018,13_reg_Dnipropetrovsk,,18.7
2019,13_reg_Dnipropetrovsk,,15.6
2020,13_reg_Dnipropetrovsk,,15.3
2021,13_reg_Dnipropetrovsk,,13.1
2022,13_reg_Dnipropetrovsk,,
2023,13_reg_Dnipropetrovsk,,
2015,14_reg_Donetsk,,
2016,14_reg_Donetsk,,
2017,14_reg_Donetsk,,
2018,14_reg_Donetsk,,
2019,14_reg_Donetsk,,
2020,14_reg_Donetsk,,
2021,14_reg_Donetsk,,
2022,14_reg_Donetsk,,
2023,14_reg_Donetsk,,
2015,15_reg_Zhytomyr,,33.6
2016,15_reg_Zhytomyr,,31.1
2017,15_reg_Zhytomyr,,27.7
2018,15_reg_Zhytomyr,,25.3
2019,15_reg_Zhytomyr,,22.5
2020,15_reg_Zhytomyr,,21.3
2021,15_reg_Zhytomyr,,17.3
2022,15_reg_Zhytomyr,,
2023,15_reg_Zhytomyr,,
2015,16_reg_Zakarpattya,,52.8
2016,16_reg_Zakarpattya,,49.4
2017,16_reg_Zakarpattya,,46.0
2018,16_reg_Zakarpattya,,45.3
