Year,Category,Unit,including,Value
2015,electr_1_supply,kWh,,146642.0
2016,electr_1_supply,kWh,,141619.0
2017,electr_1_supply,kWh,,142509.0
2018,electr_1_supply,kWh,,146523.0
2019,electr_1_supply,kWh,,141329.0
2020,electr_1_supply,kWh,,136196.0
2021,electr_1_supply,kWh,,143991.0
2022,electr_1_supply,kWh,,104529.0
2023,electr_1_supply,kWh,,98045.0
2015,electr_2_pr_supply,kWh,,131861.0
2016,electr_2_pr_supply,kWh,,131274.0
2017,electr_2_pr_supply,kWh,,132093.0
2018,electr_2_pr_supply,kWh,,129191.0
2019,electr_2_pr_supply,kWh,,116612.0
2020,electr_2_pr_supply,kWh,,112986.0
2021,electr_2_pr_supply,kWh,,119496.0
2022,electr_2_pr_supply,kWh,,85239.0
2023,electr_2_pr_supply,kWh,,81692.0
2015,electr_3_act_value,kWh,,16860.0
2016,electr_3_act_value,kWh,,16626.0
2017,electr_3_act_value,kWh,,16774.0
2018,electr_3_act_value,kWh,,16996.0
2019,electr_3_act_value,kWh,,16434.0
2020,electr_3_act_value,kWh,,15451.0
2021,electr_3_act_value,kWh,,16247.0
2022,electr_3_act_value,kWh,,13428.0
2023,electr_3_act_value,kWh,,12665.0
2015,electr_3_act_value,per,,11.5
2016,electr_3_act_value,per,,11.74
2017,electr_3_act_value,per,,11.77
2018,electr_3_act_value,per,,11.6
2019,electr_3_act_value,per,,11.63
2020,electr_3_act_value,per,,11.34
2021,electr_3_act_value,per,,11.28
2022,electr_3_act_value,per,,12.85
2023,electr_3_act_value,per,,12.92
2015,electr_3_act_value,kWh,1_norm_val,19034.0
2016,electr_3_act_value,kWh,1_norm_val,18805.0
2017,electr_3_act_value,kWh,1_norm_val,18820.0
2018,electr_3_act_value,kWh,1_norm_val,19140.0
2019,electr_3_act_value,kWh,1_norm_val,18254.0
2020,electr_3_act_value,kWh,1_norm_val,17438.0
2021,electr_3_act_value,kWh,1_norm_val,18634.0
2022,electr_3_act_value,kWh,1_norm_val,15022.0
2023,electr_3_act_value,kWh,1_norm_val,14413.0
2015,electr_3_act_value,per,1_norm_val,13.0
2016,electr_3_act_value,per,1_norm_val,13.3
2017,electr_3_act_value,per,1_norm_val,13.2
2018,electr_3_act_value,per,1_norm_val,13.1
2019,electr_3_act_value,per,1_norm_val,12.9
2020,electr_3_act_value,per,1_norm_val,12.8
2021,electr_3_act_value,per,1_norm_val,12.9
2022,electr_3_act_value,per,1_norm_val,14.4
2023,electr_3_act_value,per,1_norm_val,14.7
2015,electr_3_act_value,kWh,2_exc_val,-2174.0
2016,electr_3_act_value,kWh,2_exc_val,-2179.0
2017,electr_3_act_value,kWh,2_exc_val,-2046.0
2018,electr_3_act_value,kWh,2_exc_val,-2144.0
2019,electr_3_act_value,kWh,2_exc_val,-1820.0
2020,electr_3_act_value,kWh,2_exc_val,-1987.0
2021,electr_3_act_value,kWh,2_exc_val,-2387.0
2022,electr_3_act_value,kWh,2_exc_val,-1594.0
2023,electr_3_act_value,kWh,2_exc_val,-1748.0
2015,electr_3_act_value,per,2_exc_val,-1.5
2016,electr_3_act_value,per,2_exc_val,-1.5
2017,electr_3_act_value,per,2_exc_val,-1.4
2018,electr_3_act_value,per,2_exc_val,-1.5
2019,electr_3_act_value,per,2_exc_val,-1.3
2020,electr_3_act_value,per,2_exc_val,-1.5
2021,electr_3_act_value,per,2_exc_val,-1.7
2022,electr_3_act_value,per,2_exc_val,-1.5
2023,electr_3_act_value,per,2_exc_val,-1.8
2015,electr_4_tech_cons,kWh,,12611.0
2016,electr_4_tech_cons,kWh,,12885.0
2017,electr_4_tech_cons,kWh,,12932.0
2018,electr_4_tech_cons,kWh,,13223.0
2019,electr_4_tech_cons,kWh,,12887.0
2020,electr_4_tech_cons,kWh,,12378.0
2021,electr_4_tech_cons,kWh,,12758.0
2022,electr_4_tech_cons,kWh,,10380.0
2023,electr_4_tech_cons,kWh,,9995.0
2015,electr_4_tech_cons,per,,9.79
2016,electr_4_tech_cons,per,,9.9
2017,electr_4_tech_cons,per,,9.89
2018,electr_4_tech_cons,per,,9.84
2019,electr_4_tech_cons,per,,10.35
2020,electr_4_tech_cons,per,,10.13
2021,electr_4_tech_cons,per,,9.86
2022,electr_4_tech_cons,per,,11.11
2023,electr_4_tech_cons,per,,10.99
