Year,Sou_en,Value
2015,en_1_coal,54.3
2016,en_1_coal,66.7
2017,en_1_coal,67.0
2018,en_1_coal,70.2
2019,en_1_coal,68.6
2020,en_1_coal,70.2
2021,en_1_coal,67.5
2022,en_1_coal,42.4
2023,en_1_coal,30.8
2015,en_2_petrol,99.9
2016,en_2_petrol,97.4
2017,en_2_petrol,85.2
2018,en_2_petrol,94.2
2019,en_2_petrol,76.7
2020,en_2_petrol,70.2
2021,en_2_petrol,74.5
2022,en_2_petrol,99.9
2023,en_2_petrol,100.0
2015,en_3_gas,37.3
2016,en_3_gas,29.5
2017,en_3_gas,40.5
2018,en_3_gas,37.3
2019,en_3_gas,44.5
2020,en_3_gas,35.5
2021,en_3_gas,52.7
2022,en_3_gas,43.5
2023,en_3_gas,31.3
