Year,Ec_activ,including,Value
2015,,,28.9
2016,,,
2017,,,28.4
2018,,,
2019,,,29.6
2020,,,
2021,,,
2022,,,
2023,,,
2015,1_agr_and_rel,,11.2
2016,1_agr_and_rel,,
2017,1_agr_and_rel,,12.6
2018,1_agr_and_rel,,
2019,1_agr_and_rel,,14.5
2020,1_agr_and_rel,,
2021,1_agr_and_rel,,
2022,1_agr_and_rel,,
2023,1_agr_and_rel,,
2015,2_indus,,35.3
2016,2_indus,,
2017,2_indus,,34.1
2018,2_indus,,
2019,2_indus,,34.0
2020,2_indus,,
2021,2_indus,,
2022,2_indus,,
2023,2_indus,,
2015,3_mining,,68.7
2016,3_mining,,
2017,3_mining,,67.9
2018,3_mining,,
2019,3_mining,,66.5
2020,3_mining,,
2021,3_mining,,
2022,3_mining,,
2023,3_mining,,
2015,3_mining,inc_11_coal,82.0
2016,3_mining,inc_11_coal,
2017,3_mining,inc_11_coal,81.2
2018,3_mining,inc_11_coal,
2019,3_mining,inc_11_coal,78.6
2020,3_mining,inc_11_coal,
2021,3_mining,inc_11_coal,
2022,3_mining,inc_11_coal,
2023,3_mining,inc_11_coal,
2015,4_proc_ind,,29.2
2016,4_proc_ind,,
2017,4_proc_ind,,27.8
2018,4_proc_ind,,
2019,4_proc_ind,,28.5
2020,4_proc_ind,,
2021,4_proc_ind,,
2022,4_proc_ind,,
2023,4_proc_ind,,
2015,4_proc_ind,inc_12_food,17.3
2016,4_proc_ind,inc_12_food,
2017,4_proc_ind,inc_12_food,19.5
2018,4_proc_ind,inc_12_food,
2019,4_proc_ind,inc_12_food,20.5
2020,4_proc_ind,inc_12_food,
2021,4_proc_ind,inc_12_food,
2022,4_proc_ind,inc_12_food,
2023,4_proc_ind,inc_12_food,
2015,4_proc_ind,inc_13_leather,9.5
2016,4_proc_ind,inc_13_leather,
2017,4_proc_ind,inc_13_leather,11.1
2018,4_proc_ind,inc_13_leather,
2019,4_proc_ind,inc_13_leather,12.1
2020,4_proc_ind,inc_13_leather,
2021,4_proc_ind,inc_13_leather,
2022,4_proc_ind,inc_13_leather,
2023,4_proc_ind,inc_13_leather,
2015,4_proc_ind,inc_14_wood,22.5
2016,4_proc_ind,inc_14_wood,
2017,4_proc_ind,inc_14_wood,23.7
2018,4_proc_ind,inc_14_wood,
2019,4_proc_ind,inc_14_wood,25.6
2020,4_proc_ind,inc_14_wood,
2021,4_proc_ind,inc_14_wood,
2022,4_proc_ind,inc_14_wood,
2023,4_proc_ind,inc_14_wood,
2015,4_proc_ind,inc_15_coke,58.5
2016,4_proc_ind,inc_15_coke,
2017,4_proc_ind,inc_15_coke,61.3
2018,4_proc_ind,inc_15_coke,
2019,4_proc_ind,inc_15_coke,59.5
2020,4_proc_ind,inc_15_coke,
