Year,Region,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,1.51
2022,,
2023,,
2015,11_reg_Vinnytsya,
2016,11_reg_Vinnytsya,
2017,11_reg_Vinnytsya,
2018,11_reg_Vinnytsya,
2019,11_reg_Vinnytsya,
2020,11_reg_Vinnytsya,
2021,11_reg_Vinnytsya,0.54
2022,11_reg_Vinnytsya,
2023,11_reg_Vinnytsya,
2015,12_reg_Volyn,
2016,12_reg_Volyn,
2017,12_reg_Volyn,
2018,12_reg_Volyn,
2019,12_reg_Volyn,
2020,12_reg_Volyn,
2021,12_reg_Volyn,0.16
2022,12_reg_Volyn,
2023,12_reg_Volyn,
2015,13_reg_Dnipropetrovsk,
2016,13_reg_Dnipropetrovsk,
2017,13_reg_Dnipropetrovsk,
2018,13_reg_Dnipropetrovsk,
2019,13_reg_Dnipropetrovsk,
2020,13_reg_Dnipropetrovsk,
2021,13_reg_Dnipropetrovsk,0.05
2022,13_reg_Dnipropetrovsk,
2023,13_reg_Dnipropetrovsk,
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,
2020,14_reg_Donetsk,
2021,14_reg_Donetsk,2.31
2022,14_reg_Donetsk,
2023,14_reg_Donetsk,
2015,15_reg_Zhytomyr,
2016,15_reg_Zhytomyr,
2017,15_reg_Zhytomyr,
2018,15_reg_Zhytomyr,
2019,15_reg_Zhytomyr,
2020,15_reg_Zhytomyr,
2021,15_reg_Zhytomyr,6.43
2022,15_reg_Zhytomyr,
2023,15_reg_Zhytomyr,
2015,16_reg_Zakarpattya,
2016,16_reg_Zakarpattya,
2017,16_reg_Zakarpattya,
2018,16_reg_Zakarpattya,
2019,16_reg_Zakarpattya,
2020,16_reg_Zakarpattya,
2021,16_reg_Zakarpattya,0.26
2022,16_reg_Zakarpattya,
2023,16_reg_Zakarpattya,
2015,17_reg_Zaporizhzhya,
2016,17_reg_Zaporizhzhya,
2017,17_reg_Zaporizhzhya,
2018,17_reg_Zaporizhzhya,
2019,17_reg_Zaporizhzhya,
2020,17_reg_Zaporizhzhya,
2021,17_reg_Zaporizhzhya,0.01
2022,17_reg_Zaporizhzhya,
2023,17_reg_Zaporizhzhya,
2015,18_reg_Ivano-Frankivsk,
