Year,m_trans,Value
2015,,51.7
2016,,50.6
2017,,47.6
2018,,62.9
2019,,54.1
2020,,48.1
2021,,48.2
2022,,
2023,,
2015,tr_1_land_pipe,49.9
2016,tr_1_land_pipe,46.4
2017,tr_1_land_pipe,39.0
2018,tr_1_land_pipe,62.9
2019,tr_1_land_pipe,59.2
2020,tr_1_land_pipe,50.9
2021,tr_1_land_pipe,55.1
2022,tr_1_land_pipe,
2023,tr_1_land_pipe,
2015,tr_2_warer,44.6
2016,tr_2_warer,44.2
2017,tr_2_warer,37.6
2018,tr_2_warer,33.4
2019,tr_2_warer,27.5
2020,tr_2_warer,26.8
2021,tr_2_warer,32.5
2022,tr_2_warer,
2023,tr_2_warer,
2015,tr_3_air_tr,60.5
2016,tr_3_air_tr,64.1
2017,tr_3_air_tr,58.1
2018,tr_3_air_tr,60.3
2019,tr_3_air_tr,33.0
2020,tr_3_air_tr,52.1
2021,tr_3_air_tr,45.2
2022,tr_3_air_tr,
2023,tr_3_air_tr,
2015,tr_4_ware,56.5
2016,tr_4_ware,65.4
2017,tr_4_ware,70.7
2018,tr_4_ware,64.7
2019,tr_4_ware,36.7
2020,tr_4_ware,37.5
2021,tr_4_ware,30.5
2022,tr_4_ware,
2023,tr_4_ware,
2015,tr_5_post,64.4
2016,tr_5_post,9.2
2017,tr_5_post,31.9
2018,tr_5_post,33.4
2019,tr_5_post,35.2
2020,tr_5_post,42.6
2021,tr_5_post,42.8
2022,tr_5_post,
2023,tr_5_post,
