Year,Object,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2015,1_health,
2016,1_health,
2017,1_health,
2018,1_health,
2019,1_health,
2020,1_health,
2021,1_health,35.0
2022,1_health,
2023,1_health,41.0
2015,2_educational,
2016,2_educational,
2017,2_educational,
2018,2_educational,
2019,2_educational,
2020,2_educational,
2021,2_educational,16.0
2022,2_educational,
2023,2_educational,22.0
2015,3_soc_prot,
2016,3_soc_prot,
2017,3_soc_prot,
2018,3_soc_prot,
2019,3_soc_prot,
2020,3_soc_prot,
2021,3_soc_prot,28.0
2022,3_soc_prot,
2023,3_soc_prot,30.0
2015,4_employ,
2016,4_employ,
2017,4_employ,
2018,4_employ,
2019,4_employ,
2020,4_employ,
2021,4_employ,21.0
2022,4_employ,
2023,4_employ,
2015,5_admin,
2016,5_admin,
2017,5_admin,
2018,5_admin,
2019,5_admin,
2020,5_admin,
2021,5_admin,35.0
2022,5_admin,
2023,5_admin,46.0
2015,6_nation,
2016,6_nation,
2017,6_nation,
2018,6_nation,
2019,6_nation,
2020,6_nation,
2021,6_nation,13.0
2022,6_nation,
2023,6_nation,22.0
2015,7_transport,
2016,7_transport,
2017,7_transport,
2018,7_transport,
2019,7_transport,
2020,7_transport,
2021,7_transport,22.0
2022,7_transport,
2023,7_transport,35.0
2015,8_pension,
2016,8_pension,
2017,8_pension,
2018,8_pension,
2019,8_pension,
2020,8_pension,
2021,8_pension,41.0
2022,8_pension,
2023,8_pension,
2015,9_civ_prot,
2016,9_civ_prot,
2017,9_civ_prot,
2018,9_civ_prot,
2019,9_civ_prot,
2020,9_civ_prot,
2021,9_civ_prot,3.0
2022,9_civ_prot,
2023,9_civ_prot,6.0
2015,99_judge,
2016,99_judge,
2017,99_judge,
2018,99_judge,
2019,99_judge,
2020,99_judge,
2021,99_judge,12.0
2022,99_judge,
2023,99_judge,
