Year,Ec_activ,Value
2015,,1.4
2016,,
2017,,0.7
2018,,0.8
2019,,1.3
2020,,1.9
2021,,
2022,,
2023,,
2015,11_ext_quar,0.0
2016,11_ext_quar,
2017,11_ext_quar,0.1
2018,11_ext_quar,0.1
2019,11_ext_quar,0.2
2020,11_ext_quar,1.8
2021,11_ext_quar,
2022,11_ext_quar,
2023,11_ext_quar,
2015,12_ext_coal,
2016,12_ext_coal,
2017,12_ext_coal,
2018,12_ext_coal,0.0
2019,12_ext_coal,0.0
2020,12_ext_coal,
2021,12_ext_coal,
2022,12_ext_coal,
2023,12_ext_coal,
2015,13_ext_oil,
2016,13_ext_oil,
2017,13_ext_oil,0.0
2018,13_ext_oil,0.0
2019,13_ext_oil,0.0
2020,13_ext_oil,
2021,13_ext_oil,
2022,13_ext_oil,
2023,13_ext_oil,
2015,14_ext_ores,
2016,14_ext_ores,
2017,14_ext_ores,0.0
2018,14_ext_ores,0.2
2019,14_ext_ores,0.3
2020,14_ext_ores,
2021,14_ext_ores,
2022,14_ext_ores,
2023,14_ext_ores,
2015,15_ext_miner,0.5
2016,15_ext_miner,
2017,15_ext_miner,0.3
2018,15_ext_miner,0.1
2019,15_ext_miner,0.4
2020,15_ext_miner,
2021,15_ext_miner,
2022,15_ext_miner,
2023,15_ext_miner,
2015,16_serv,0.0
2016,16_serv,
2017,16_serv,0.6
2018,16_serv,0.0
2019,16_serv,1.1
2020,16_serv,
2021,16_serv,
2022,16_serv,
2023,16_serv,
2015,17_proc_ind,2.1
2016,17_proc_ind,
2017,17_proc_ind,1.2
2018,17_proc_ind,1.3
2019,17_proc_ind,1.9
2020,17_proc_ind,2.4
2021,17_proc_ind,
2022,17_proc_ind,
2023,17_proc_ind,
2015,18_man_food,1.2
2016,18_man_food,
2017,18_man_food,0.6
2018,18_man_food,0.8
2019,18_man_food,0.9
2020,18_man_food,1.1
2021,18_man_food,
2022,18_man_food,
2023,18_man_food,
2015,19_man_bev,2.6
2016,19_man_bev,
2017,19_man_bev,3.2
2018,19_man_bev,3.1
2019,19_man_bev,2.3
2020,19_man_bev,1.6
2021,19_man_bev,
2022,19_man_bev,
2023,19_man_bev,
2015,20_man_tobac,0.4
2016,20_man_tobac,
2017,20_man_tobac,0.8
2018,20_man_tobac,0.2
2019,20_man_tobac,
2020,20_man_tobac,
2021,20_man_tobac,
2022,20_man_tobac,
2023,20_man_tobac,
2015,21_man_text,1.6
2016,21_man_text,
2017,21_man_text,3.9
2018,21_man_text,1.1
2019,21_man_text,0.4
2020,21_man_text,1.3
2021,21_man_text,
2022,21_man_text,
2023,21_man_text,
2015,22_man_cloth,0.6
2016,22_man_cloth,
2017,22_man_cloth,0.4
2018,22_man_cloth,0.7
2019,22_man_cloth,0.2
2020,22_man_cloth,
2021,22_man_cloth,
2022,22_man_cloth,
2023,22_man_cloth,
2015,23_man_leather,0.1
2016,23_man_leather,
2017,23_man_leather,0.2
2018,23_man_leather,3.6
2019,23_man_leather,
2020,23_man_leather,
2021,23_man_leather,
2022,23_man_leather,
2023,23_man_leather,
2015,24_man_wood,0.3
2016,24_man_wood,
2017,24_man_wood,0.3
2018,24_man_wood,0.5
2019,24_man_wood,0.1
2020,24_man_wood,1.5
2021,24_man_wood,
2022,24_man_wood,
2023,24_man_wood,
2015,25_man_paper,1.5
2016,25_man_paper,
2017,25_man_paper,0.2
