Value,Disaggregation combinations using this value,Number of indicators
11_agricul,2,2
11_ext_quar,1,1
12_ext_coal,1,1
12_indu,2,2
13_constr,2,2
13_ext_oil,1,1
14_ext_ores,1,1
14_motor_veh,2,2
15_courier,2,2
15_ext_miner,1,1
16_cater,2,2
16_serv,1,1
17_proc_ind,1,1
17_telecom,2,2
18_insurance,2,2
18_man_food,1,1
19_estate,2,2
19_man_bev,1,1
1_agr_and_rel,1,1
20_man_tobac,1,1
20_scientific,2,2
21_man_text,1,1
21_support,2,2
22_man_cloth,1,1
22_public,1,1
23_educ,2,2
23_man_leather,1,1
24_health,2,2
24_man_wood,1,1
25_arts,2,2
25_man_paper,1,1
26_other_serv,2,2
26_print,1,1
27_man_coke,1,1
28_man_chemic,1,1
29_man_pharmac,1,1
2_indus,1,1
30_man_rubber,1,1
31_man_non_met,1,1
32_man_met,1,1
33_man_equip,1,1
34_man_pc,1,1
35_man_el_equip,1,1
36_not_class,1,1
37_man_motor,1,1
38_man_oth_veh,1,1
39_man_furn,1,1
3_mining,2,1
40_man_oth_prod,1,1
41_repair,1,1
42_suppl_elec,1,1
43_suppl_wat,1,1
44_collec_wat,1,1
45_waste_wat,1,1
46_restor,1,1
47_waste_act,1,1
4_proc_ind,14,1
5_el_gas,1,1
6_water,1,1
7_constr,1,1
8_trans_act,1,1
9_telec,1,1
s_11_indu,2,2
s_12_agri,2,2
s_13_fores,2,2
s_14_transp,2,2
s_15_commun,2,2
s_16_constr,2,2
s_17_trade,2,2
s_18_logis,2,2
s_19_resid,2,2
s_20_care,2,2
s_21_pub_ed,2,2
s_22_oth_sec,2,2
