Value,Disaggregation combinations using this value,Number of indicators
11_1_agricul,1,1
11_agricul,1,1
12_indu,2,2
13_constr,2,2
14_motor_veh,2,2
15_courier,2,2
16_cater,2,2
17_telecom,2,2
18_insurance,2,2
19_estate,2,2
1_all,14,3
1_pop,1,1
20_scientific,2,2
21_support,2,2
22_public,1,1
23_educ,2,2
24_health,2,2
25_arts,2,2
26_1_other_serv,1,1
26_other_serv,1,1
2_females,7,3
2_particip,1,1
3_adolescents,7,3
3_exper,1,1
4_young,7,3
children,1,1
female,1,1
male,1,1
prod_10_rusks,1,1
prod_11_other,1,1
prod_12_sugar,1,1
prod_13_cocoa,1,1
prod_14_tea,1,1
prod_15_spices,1,1
prod_16_not_else,1,1
prod_1_meat,1,1
prod_2_fish,1,1
prod_3_fru_veg,1,1
prod_4_oil,1,1
prod_5_dairy,1,1
prod_6_starch,1,1
prod_7_flour,1,1
prod_8_bread,1,1
prod_9_cakes,1,1
