Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,25,19
12_reg_Volyn,25,19
13_reg_Dnipropetrovsk,161,20
14_reg_Donetsk,161,21
15_reg_Zhytomyr,25,19
16_reg_Zakarpattya,25,19
17_reg_Zaporizhzhya,161,20
18_reg_Ivano-Frankivsk,25,19
19_reg_Kyiv,25,19
20_reg_Kirovohrad,25,19
21_reg_Luhansk,162,21
22_reg_Lviv,25,19
23_reg_Mykolayiv,25,19
24_reg_Odesa,25,19
25_reg_Poltava,25,19
26_reg_Rivne,25,19
27_reg_Sumy,25,19
28_reg_Ternopil,25,19
29_reg_Kharkiv,161,20
30_reg_Kherson,25,19
31_reg_Khmelnytskiy,25,19
32_reg_Cherkasy,25,19
33_reg_Chernivtsi,25,19
34_reg_Chernihiv,25,19
35_reg_Kyiv_city,19,13
